source_realword,pseudoword,syllable_length,modified_syllable_position,original_syllable,modified_syllable,modification_type,quality_flag,possible_meaning_warning,keep_manual,reject_manual,helper_manual_note,final_selected,review_warning,recommended_action,shortlist_rank_within_length,shortlist_reason,manual_final_decision,manual_note
quán cà phê,quán cạ phê,3,2,cà,cạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,39,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
sức hấp dẫn,sủc hấp dẫn,3,1,sức,sủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,40,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
sức hấp dẫn,sức háp dẫn,3,2,hấp,háp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,41,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
sức hấp dẫn,sức hảp dẫn,3,2,hấp,hảp,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,42,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
trường đại học,trường đại hỏc,3,3,học,hỏc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,43,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tâm lý học,tâm lỵ học,3,2,lý,lỵ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,44,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tâm lý học,tâm lỷ học,3,2,lý,lỷ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,45,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tâm lý học,tảm lý học,3,1,tâm,tảm,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,46,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
đồ nội thất,đồ nội thạt,3,3,thất,thạt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,47,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
đồ nội thất,đồ nội thảt,3,3,thất,thảt,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,48,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
hạnh phúc gia đình,hónh phúc gia đình,4,1,hạnh,hónh,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,1,keep_candidate; vowel change is pronounceable and less typo-like,,
hạnh phúc gia đình,hỏnh phúc gia đình,4,1,hạnh,hỏnh,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate,2,keep_candidate; vowel change is pronounceable and less typo-like,,
chuyên viên tư vấn,chuyên viên tư vản,4,4,vấn,vản,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,3,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cuộc sống gia đình,cuộc sọng gia đình,4,2,sống,sọng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,4,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cuộc sống gia đình,cuộc sỏng gia đình,4,2,sống,sỏng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,5,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
công nghệ thông tin,công nghẹ thông tin,4,2,nghệ,nghẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,6,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
công nghệ thông tin,công nghẻ thông tin,4,2,nghệ,nghẻ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,7,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
công nghệ thông tin,cỏng nghệ thông tin,4,1,công,cỏng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,8,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cơ sở sản xuất,cơ só sản xuất,4,2,sở,só,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,9,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cơ sở sản xuất,cơ sọ sản xuất,4,2,sở,sọ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,10,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
cơ sở sản xuất,cơ sỏ sản xuất,4,2,sở,sỏ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,11,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
diễn đàn quốc tế,diễn đàn quốc té,4,4,tế,té,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,12,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
diễn đàn quốc tế,diễn đàn quốc tẹ,4,4,tế,tẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,13,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
giám đốc công ty,giám đóc công ty,4,2,đốc,đóc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,14,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
giám đốc công ty,giám đỏc công ty,4,2,đốc,đỏc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,15,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy pha cà phê,máy pha cà phé,4,4,phê,phé,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,16,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy pha cà phê,máy pha cạ phê,4,3,cà,cạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,17,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy pha cà phê,máy phạ cà phê,4,2,pha,phạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,18,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy xay sinh tố,máy xay sỉnh tố,4,3,sinh,sỉnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,19,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
máy xay sinh tố,máy xay sịnh tố,4,3,sinh,sịnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,20,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
môi trường bên ngoài,môi trường bẹn ngoài,4,3,bên,bẹn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,21,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
môi trường bên ngoài,môi trường bẻn ngoài,4,3,bên,bẻn,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,22,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nghiên cứu khoa học,nghiên cứu khoa hỏc,4,4,học,hỏc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,23,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nước mắm nguyên chất,nước mạm nguyên chất,4,2,mắm,mạm,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,24,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nước mắm nguyên chất,nước mảm nguyên chất,4,2,mắm,mảm,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,25,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nước uống thể thao,nước uống thé thao,4,3,thể,thé,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,26,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
nước uống thể thao,nước uống thẹ thao,4,3,thể,thẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,27,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
quan hệ vợ chồng,quan hệ vợ chọng,4,4,chồng,chọng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,28,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tai nạn lao động,tai nán lao động,4,2,nạn,nán,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,29,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
thực phẩm chế biến,thủc phẩm chế biến,4,1,thực,thủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,30,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
thực phẩm chế biến,thực phám chế biến,4,2,phẩm,phám,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,31,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
thực phẩm chế biến,thực phẩm ché biến,4,3,chế,ché,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,32,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
trình độ học vấn,trính độ học vấn,4,1,trình,trính,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,33,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
trình độ học vấn,trỉnh độ học vấn,4,1,trình,trỉnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,34,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tình yêu đích thực,tình yêu đich thực,4,3,đích,đich,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,35,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tình yêu đích thực,tình yêu đích thủc,4,4,thực,thủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,36,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
tình yêu đích thực,tình yêu đỉch thực,4,3,đích,đỉch,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,37,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
văn hóa ẩm thực,văn hóa ẩm thủc,4,4,thực,thủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,38,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
văn hóa ẩm thực,vản hóa ẩm thực,4,1,văn,vản,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,39,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
điều kiện kinh tế,điều kiện kịnh tế,4,3,kinh,kịnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully,40,review_carefully retained as backup; acceptable for final manual check despite typo-like warning,,
