pseudoword,syllable_length,source_method,pronounceability_note,corpus_match_status,review_status,notes
bẩ giặn,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nểng rẩp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nghỷch nác,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ngẩch sểch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
sủnh hỉu,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ngích đanh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
vựng nế,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quậc quục,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
đưc nhổn,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thắ giưnh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
mửi nghẻp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quẻt hép,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hỷn đach,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trởn hợn,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nghém rổng,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bủ chộch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bét tỷt,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bân chớm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
cơt phực,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dơp chổm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trẳn kỵc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
véng nột,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thốp xơch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
lởc châch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hị gií,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
lẩnh phỏt,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
rệp héch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ngâng trợm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hạo chẩ,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ghỉp chăt,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
mẳng nểp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhậnh rịu,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trấc giệm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
sỵc tơc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xị quụp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xọnh rânh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giại trốnh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phẩch gơp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ím thấc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
gớch xáp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nỏp phêch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dưnh dẹ,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
chộ phớp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
mửc quêng,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bửc nặp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giúng phỏnh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thỉt thợp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giẻp giệng,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hôch ngớnh,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhặc mêt,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xống phảp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giưch hởc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ặp đip,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nghẹc kỉn,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trỵp bếng,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
chốnh ngợt,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ghêt trểp,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dỷnh gậc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trọt lám,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thỷc mảch,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
chểng kểm,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quắc sậc,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
đợng nhửng,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quố lụ,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
chỵc xớ,2,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
kỉ tẩt tặp,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
mựn đớnh rốch,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
tủch nghỉt thých,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ghỷ xén lẹng,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
kíc tẩch sởnh,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
lúi đọ vúi,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
năt xậnh phánh,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ngỏnh đẳc hểch,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
đắ trẳ ứp,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dỷp giẩc giẩp,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
đych thá đot,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phặc dộc trứ,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhẻch thệt giủm,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
côc giểnh dẩt,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
sểng vổm hó,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
lủp chăp rêng,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xửt bệm rưnh,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phêc mựn hẩnh,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
chỉch trện ặng,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nởt thịp chẻc,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
rêp lỉch thọi,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
sơng dưc ểng,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xứnh dửc nhớch,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
chýnh lởm đớnh,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
dỷ bếc ểt,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
ửt trủp vịch,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
rỷt mạm nhỷ,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
trửm lẹp trấp,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phủn nhỏt đọnh,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
tưnh chụn xâc,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xẻp nghỉu xậng,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
hý ngấn mẹn,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
cẩch đểc chệ,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
gậch châ rẹo,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
râng giểt xớc,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
cónh sỷch vởng,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nỏ nhắng lăc,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhậng bứng sủng,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nhại rơn quẹm,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bảp nế xẻch,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
rôn dẩp ghẹch,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
quỏn trủc gỉc,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
sơm xíp bởp,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
rảo tấng thứng,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
lọch dọm ím,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
mỉnh giếch rởng,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
éng lớch mựn,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
tẩc giợ ngựi,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xộ nênh quửm,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
giủng dớc xấm,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
chệc giọi phêch,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
xýt mản rẳp,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
nột vých bỵp,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
bủi nếng sận,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
phăp phẻp hẹnh,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
gợ tớch bợn,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
thưt bỵ nựm,3,curated_vietnamese_safe_rime_recombination_v1,Vietnamese-marked simple orthographic syllable pattern passed; requires manual/native-speaker review,"no exact match in processed frequency, real-word, or candidate files",needs_manual_review,candidate pool only; not final stimulus item
