source_realword,pseudoword,syllable_length,modified_syllable_position,original_syllable,modified_syllable,modification_type,quality_flag,possible_meaning_warning,keep_manual,reject_manual,manual_note,final_selected,review_warning,recommended_action
quan hệ vợ chồng,quan hệ vợ chọng,4,4,chồng,chọng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
tai nạn lao động,tai nán lao động,4,2,nạn,nán,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
thủ công mỹ nghệ,thủ cỏng mỹ nghệ,4,2,công,cỏng,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
thực phẩm chế biến,thủc phẩm chế biến,4,1,thực,thủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
thực phẩm chế biến,thực phám chế biến,4,2,phẩm,phám,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
thực phẩm chế biến,thực phẩm ché biến,4,3,chế,ché,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
trình độ học vấn,trính độ học vấn,4,1,trình,trính,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
trình độ học vấn,trỉnh độ học vấn,4,1,trình,trỉnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
tình yêu đích thực,tình yêu đich thực,4,3,đích,đich,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
tình yêu đích thực,tình yêu đích thủc,4,4,thực,thủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
tình yêu đích thực,tình yêu đỉch thực,4,3,đích,đỉch,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
văn hóa ẩm thực,văn hóa ẩm thủc,4,4,thực,thủc,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
văn hóa ẩm thực,vản hóa ẩm thực,4,1,văn,vản,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
điều kiện kinh tế,điều kiện kịnh tế,4,3,kinh,kịnh,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
hạnh phúc gia đình,hónh phúc gia đình,4,1,hạnh,hónh,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate
hạnh phúc gia đình,hỏnh phúc gia đình,4,1,hạnh,hỏnh,vowel_change,high,none_detected_by_heuristic,,,,,none,keep_candidate
cơ sở sản xuất,cơ só sản xuất,4,2,sở,só,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
cơ sở sản xuất,cơ sọ sản xuất,4,2,sở,sọ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
cơ sở sản xuất,cơ sỏ sản xuất,4,2,sở,sỏ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
diễn đàn quốc tế,diễn đàn quốc té,4,4,tế,té,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
diễn đàn quốc tế,diễn đàn quốc tẹ,4,4,tế,tẹ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
mái ấm gia đình,mái ạm gia đình,4,2,ấm,ạm,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
máy pha cà phê,máy pha cạ phê,4,3,cà,cạ,tone_change,high,none_detected_by_heuristic,,,,,looks_like_simple_tone_typo_or_spelling_variant,review_carefully
